DateTime,Favorites,Retweets
01-09-21 09:30:00,60611,12829
01-09-21 21:30:00,309582,57875
01-10-21 09:30:00,345655,64005
01-10-21 21:30:00,357344,66010
01-11-21 09:30:00,361776,66790
01-11-21 21:30:00,365452,67285
01-12-21 09:30:00,365508,67296
01-12-21 21:30:00,366016,67352
01-13-21 09:30:00,366526,67399
01-13-21 21:30:00,366618,67396
01-14-21 09:30:00,366716,67406
01-14-21 21:30:00,366918,67406
01-15-21 09:30:00,366926,67405
01-15-21 21:30:00,367037,67411
01-16-21 09:30:00,367036,67410
01-16-21 21:30:00,367120,67402
01-17-21 09:30:00,367117,67402
01-17-21 21:30:00,367125,67393
01-18-21 09:30:00,367123,67384
01-18-21 21:30:00,367168,67373
