DateTime,Favorites,Retweets
01-09-21 09:30:00,4589,214
01-09-21 21:30:00,9678,335
01-10-21 09:30:00,11138,379
01-10-21 21:30:00,11412,385
01-11-21 09:30:00,11727,406
01-11-21 21:30:00,11891,412
01-12-21 09:30:00,11893,412
01-12-21 21:30:00,11914,414
01-13-21 09:30:00,11982,419
01-13-21 21:30:00,11990,420
01-14-21 09:30:00,12017,422
01-14-21 21:30:00,12048,424
01-15-21 09:30:00,12054,425
01-15-21 21:30:00,12074,423
01-16-21 09:30:00,12075,423
01-16-21 21:30:00,12089,426
01-17-21 09:30:00,12091,426
01-17-21 21:30:00,12095,427
01-18-21 09:30:00,12096,427
01-18-21 21:30:00,12100,428
