DateTime,Favorites,Retweets
01-09-21 09:30:00,15149,1375
01-09-21 21:30:00,44905,3619
01-10-21 09:30:00,46500,3705
01-10-21 21:30:00,46823,3725
01-11-21 09:30:00,46878,3726
01-11-21 21:30:00,46898,3727
01-12-21 09:30:00,46900,3726
01-12-21 21:30:00,46903,3727
01-13-21 09:30:00,46905,3727
01-13-21 21:30:00,46914,3728
01-14-21 09:30:00,46927,3728
01-14-21 21:30:00,46961,3733
01-15-21 09:30:00,46962,3732
01-15-21 21:30:00,46976,3729
01-16-21 09:30:00,46977,3729
01-16-21 21:30:00,46970,3728
01-17-21 09:30:00,46970,3728
01-17-21 21:30:00,46950,3727
01-18-21 09:30:00,46952,3726
01-18-21 21:30:00,46935,3725
